"team_value_ratio","avg_pl_value_ratio","a_int_delta","team_h_form_last_3","team_a_form_last_3","form_delta_last_3","team_h_form_last_5","team_a_form_last_5","form_delta_last_5","team_h_form_last_10","team_a_form_last_10","form_delta_last_10","team_h_last_w","team_h_last_dr","team_h_last_de","team_a_last_w","team_a_last_dr","team_a_last_de","team_h_win_perc","team_h_dra_perc","team_h_def_perc","team_a_win_perc","team_a_dra_perc","team_a_def_perc","winner"
2.17,2.09,1,1,4,-3,4,4,0,11,7,4,4,2,1,2,1,4,0.38,0.38,0.25,0.13,0.38,0.5,"H"
0.28,0.25,-3,2,5,-3,5,5,0,9,11,-2,3,4,1,2,1,4,0.38,0.13,0.5,0.5,0.13,0.38,"X"
2.27,2.11,1,3,3,0,3,6,-3,5,12,-7,3,1,2,1,2,3,0.13,0.13,0.75,0.5,0.25,0.25,"H"
2.4,2,5,1,3,-2,3,5,-2,6,10,-4,4,1,2,3,2,1,0.13,0.25,0.63,0.25,0.5,0.25,"A"
0.1,0.08,-6,0,6,-6,2,10,-8,7,18,-11,5,7,1,1,10,10,0.25,0.13,0.63,1,0,0,"A"
0.46,0.4,3,1,6,-5,4,6,-2,9,8,1,5,2,1,1,10,4,0.25,0.38,0.38,0.38,0,0.63,"A"
1.12,1.63,-2,3,3,0,5,3,2,12,6,6,1,2,3,1,2,3,0.5,0.25,0.25,0.13,0.25,0.63,"A"
0.21,0.17,-7,2,2,0,4,6,-2,10,14,-4,1,10,2,4,2,1,0.5,0,0.5,0.63,0.25,0.13,"A"
9.26,7.83,7,6,3,3,10,5,5,19,11,8,1,11,11,2,3,1,1,0,0,0.44,0.22,0.33,"H"
5.38,8.07,6,3,1,2,6,3,3,15,5,10,1,3,2,5,2,1,0.67,0.22,0.11,0.11,0.22,0.67,"H"
2.85,2.85,1,4,3,1,6,5,1,11,6,5,3,1,5,1,2,3,0.44,0.22,0.33,0.22,0.11,0.67,"H"
0.83,0.86,-2,6,4,2,8,8,0,9,14,-5,1,11,5,1,8,2,0.44,0,0.56,0.67,0.11,0.22,"H"
0.73,0.71,-1,5,1,4,5,2,3,7,8,-1,1,3,4,6,3,1,0.22,0.22,0.56,0.22,0.33,0.44,"A"
1.42,1.58,2,3,1,2,4,4,0,6,9,-3,3,2,1,4,1,2,0.11,0.33,0.56,0.33,0.22,0.44,"A"
1.13,1.32,-2,2,0,2,4,0,4,9,6,3,2,11,1,6,8,1,0.44,0,0.56,0.22,0.11,0.67,"A"
0.47,0.56,-2,3,3,0,5,5,0,11,11,0,2,3,1,2,3,1,0.44,0.22,0.33,0.44,0.22,0.33,"A"
0.13,0.12,-7,3,3,0,5,5,0,11,12,-1,1,3,2,1,3,2,0.33,0.44,0.22,0.44,0.33,0.22,"A"
6.13,5.49,2,2,2,0,6,3,3,13,10,3,2,9,1,3,4,1,0.6,0.1,0.3,0.4,0.2,0.4,"X"
0.87,0.84,0,4,4,0,5,8,-3,13,12,1,1,4,3,1,2,6,0.5,0.3,0.2,0.5,0.2,0.3,"H"
1.06,1.14,-3,3,4,-1,5,5,0,10,6,4,1,2,3,2,4,1,0.4,0.2,0.4,0.2,0.2,0.6,"A"
3.03,3.37,6,3,2,1,5,5,0,5,10,-5,2,3,1,2,4,1,0.2,0.1,0.7,0.3,0.4,0.3,"H"
0.87,0.72,1,1,2,-1,1,2,-1,4,8,-4,6,3,1,3,12,1,0.1,0.2,0.7,0.4,0,0.6,"X"
0.19,0.13,-5,2,4,-2,2,6,-4,7,16,-9,1,9,2,1,4,3,0.3,0.1,0.6,0.7,0.2,0.1,"A"
0.13,0.11,-4,2,6,-4,3,10,-7,9,20,-11,1,4,2,1,12,12,0.3,0.3,0.4,1,0,0,"X"
