"team_h_last_w","team_h_last_dr","team_h_last_de","team_a_last_w","team_a_last_dr","team_a_last_de","team_h_form_last_3","team_a_form_last_3","form_delta_last_3","team_h_form_last_5","team_a_form_last_5","form_delta_last_5","team_h_form_last_10","team_a_form_last_10","form_delta_last_10","team_h_win_perc","team_h_dra_perc","team_h_def_perc","team_a_win_perc","team_a_dra_perc","team_a_def_perc","tm_pred","tm_pred_p","team_value_ratio","avg_pl_value_ratio","a_int_delta","winner"
1,9,2,1,4,3,2,4,-2,2,6,-4,7,16,-9,0.3,0.1,0.6,0.7,0.2,0.1,"A",0.92,0.19,0.13,-5,"A"
1,4,2,1,12,12,2,6,-4,3,10,-7,9,20,-11,0.3,0.3,0.4,1,0,0,"A",0.98,0.13,0.11,-4,"X"
3,4,1,4,3,1,2,1,1,3,4,-1,10,5,5,0.4,0.2,0.4,0.1,0.3,0.6,"H",0.57,0.74,0.91,-1,"X"
1,4,2,1,12,6,4,6,-2,7,10,-3,12,10,2,0.5,0.2,0.3,0.5,0,0.5,"A",0.72,0.42,0.38,2,"A"
2,1,13,1,4,2,5,4,1,9,5,4,19,7,12,0.91,0.09,0,0.27,0.09,0.64,"H",0.99,7.82,8.12,6,"H"
1,5,4,3,1,2,6,3,3,7,5,2,16,12,4,0.73,0.18,0.09,0.55,0.18,0.27,"H",0.91,1.58,1.84,4,"H"
2,3,1,4,1,2,3,1,2,6,4,2,10,9,1,0.45,0.18,0.36,0.36,0.27,0.36,"H",0.84,3.38,2.75,2,"A"
1,13,7,4,1,2,6,1,5,10,4,6,12,9,3,0.55,0,0.45,0.36,0.27,0.36,"H",0.95,5.11,4.75,0,"X"
7,1,2,2,10,1,1,2,-1,2,2,0,5,7,-2,0.09,0.27,0.64,0.27,0.09,0.64,"H",0.5,0.98,0.95,-1,"A"
1,5,2,2,5,1,4,2,2,7,5,2,7,10,-3,0.27,0.18,0.55,0.45,0.18,0.36,"A",0.36,0.8,0.75,0,"A"
5,1,2,2,1,3,1,3,-2,4,4,0,6,10,-4,0.09,0.36,0.55,0.27,0.36,0.36,"H",0.47,1.11,1.27,-2,"X"
4,1,2,1,5,4,1,6,-5,3,7,-4,9,13,-4,0.36,0.09,0.55,0.55,0.27,0.18,"A",0.78,0.37,0.34,-3,"H"
3,5,1,2,3,1,2,3,-1,3,3,0,9,10,-1,0.27,0.36,0.36,0.36,0.18,0.45,"X",0.38,0.41,0.41,-4,"X"
4,2,1,1,2,14,1,5,-4,3,9,-6,11,19,-8,0.5,0.17,0.33,0.92,0.08,0,"A",0.92,0.35,0.32,-5,"A"
2,1,8,2,6,1,5,2,3,9,6,3,13,7,6,0.5,0.08,0.42,0.25,0.17,0.58,"H",0.97,2.99,3.55,-2,"H"
2,6,1,1,11,2,4,4,0,6,4,2,12,8,4,0.5,0.25,0.25,0.33,0.08,0.58,"H",0.9,3.06,3.82,1,"H"
3,1,2,1,6,5,3,6,-3,4,8,-4,9,16,-7,0.33,0.25,0.42,0.75,0.17,0.08,"A",0.92,0.19,0.15,-7,"H"
2,5,1,8,2,1,2,1,1,5,2,3,7,4,3,0.25,0.08,0.67,0.08,0.25,0.67,"H",0.7,1.26,1.68,1,"A"
3,1,4,3,4,1,4,2,2,4,4,0,10,8,2,0.25,0.42,0.33,0.42,0.17,0.42,"A",0.65,0.36,0.31,1,"A"
1,2,3,1,2,3,3,3,0,5,5,0,10,9,1,0.42,0.25,0.33,0.42,0.08,0.5,"H",0.64,0.92,1.26,1,"X"
1,6,2,6,1,3,4,2,2,6,3,3,11,7,4,0.5,0.17,0.33,0.08,0.42,0.5,"H",0.73,0.83,0.74,1,"H"
5,1,3,4,1,2,2,1,1,4,3,1,10,9,1,0.33,0.33,0.33,0.25,0.42,0.33,"X",0.5,1.34,1.6,5,"H"
